name,imagenum1,imagenum2
Abdullah_Gul,13,14
Abdullah_Gul,13,16
Abdullatif_Sener,1,2
Adel_Al-Jubeir,1,3
Al_Pacino,1,2
Alan_Greenspan,1,5
Albert_Costa,2,6
Albert_Costa,4,6
Albert_Costa,5,6
Alejandro_Atchugarry,1,2
Alex_Penelas,1,2
Ali_Naimi,1,3
Ali_Naimi,3,4
Allison_Janney,1,2
Allyson_Felix,2,5
Alvaro_Uribe,7,10
Alvaro_Uribe,17,26
Alvaro_Uribe,28,29
Amanda_Bynes,1,2
Amanda_Bynes,1,3
Amanda_Bynes,1,4
Amanda_Bynes,3,4
Amelie_Mauresmo,1,21
Amelie_Mauresmo,4,11
Amelie_Mauresmo,16,21
Ana_Palacio,1,6
Andrei_Mikhnevich,1,2
Andy_Hebb,1,2
Angelo_Reyes,1,2
Angelo_Reyes,2,3
Ann_Veneman,1,2
Ann_Veneman,5,11
Ann_Veneman,8,9
Anna_Nicole_Smith,1,2
Anne_Krueger,1,2
Anne_Krueger,2,3
Annette_Lu,1,2
Annette_Lu,1,3
Annette_Lu,2,3
Antonio_Palocci,3,8
Antonio_Trillanes,1,2
Antonio_Trillanes,2,3
Arlen_Specter,1,3
Augustin_Calleri,1,3
Augustin_Calleri,1,4
Barbara_Brezigar,1,2
Begum_Khaleda_Zia,1,2
Ben_Affleck,1,3
Ben_Affleck,2,6
Ben_Affleck,3,6
Bertie_Ahern,2,3
Bill_Frist,1,3
Bill_Frist,2,7
Bill_Frist,3,8
Bill_McBride,2,6
Bill_McBride,2,10
Bill_McBride,3,9
Bill_Sizemore,1,2
Bono,1,2
Bono,1,3
Bono,2,3
Brian_Cowen,1,2
Bridget_Fonda,1,3
Bridgette_Wilson-Sampras,1,2
Butch_Davis,1,2
Calista_Flockhart,2,6
Candice_Bergen,1,3
Carla_Del_Ponte,2,4
Carla_Del_Ponte,4,5
Carlos_Manuel_Pruneda,1,2
Carlos_Manuel_Pruneda,1,3
Carlos_Manuel_Pruneda,2,3
Carlos_Moya,7,11
Carlos_Ortega,1,3
Carolyn_Dawn_Johnson,2,3
Carrie-Anne_Moss,2,5
Carson_Daly,1,2
Cathy_Freeman,1,2
Chanda_Rubin,2,4
Chang_Dae-whan,1,2
Charles_Taylor,3,9
Chen_Shui-bian,3,5
Chita_Rivera,1,2
Chok_Tong_Goh,1,2
Chris_Bell,1,2
Chris_Byrd,1,2
Christian_Longo,1,3
Christian_Longo,2,3
Christian_Wulff,1,2
Christine_Ebersole,1,2
Christine_Todd_Whitman,5,6
Christopher_Reeve,1,4
Claire_Leger,1,2
Condoleezza_Rice,2,5
Condoleezza_Rice,7,10
Cristina_Fernandez,1,2
Dai_Bachtiar,1,2
Daisy_Fuentes,3,4
Dave_Campo,1,2
Dave_Campo,2,3
David_Stern,1,4
David_Stern,3,4
Denise_Johnson,1,2
Dennis_Powell,1,2
Denzel_Washington,1,3
Denzel_Washington,2,4
Denzel_Washington,2,5
Derek_Jeter,2,3
Diane_Green,1,2
Dick_Clark,1,2
Dick_Clark,1,3
Dick_Clark,2,3
Dick_Vermeil,1,2
Dominique_de_Villepin,3,5
Dominique_de_Villepin,7,11
Dominique_de_Villepin,14,15
Donald_Pettit,1,2
Donald_Pettit,2,3
Donald_Rumsfeld,22,36
Donald_Rumsfeld,28,108
Donald_Rumsfeld,41,48
Doug_Collins,1,2
Edward_Lu,2,4
Edward_Norton,1,2
Edwin_Edwards,1,2
Edwin_Edwards,2,3
Eliane_Karp,1,4
Eliane_Karp,2,3
Elin_Nordegren,1,2
Elinor_Caplan,1,2
Elisabeth_Schumacher,1,2
Elizabeth_Smart,1,5
Elizabeth_Smart,3,4
Elsa_Zylberstein,1,2
Elsa_Zylberstein,1,5
Elsa_Zylberstein,3,6
Emma_Watson,1,4
Emma_Watson,2,3
Emma_Watson,3,5
Erik_Morales,1,3
Erika_Christensen,1,2
Erin_Runnion,3,4
Ernie_Fletcher,1,2
Fabiola_Zuluaga,1,2
Felipe_Perez_Roque,1,4
Felipe_Perez_Roque,2,4
Fernando_Vargas,2,4
Flor_Montulo,1,2
Frank_Cassell,1,2
Frank_Dunham_Jr,1,2
Gao_Qiang,1,2
Garry_Trudeau,1,2
Gary_Doer,1,2
Gary_Doer,1,3
Gary_Doer,2,3
Gary_Winnick,1,2
Gene_Robinson,2,4
George_Foreman,1,2
George_Karl,1,2
George_Robertson,5,20
George_Robertson,12,19
George_Robertson,15,22
Georgi_Parvanov,1,2
