name,imagenum1,name,imagenum2
AJ_Lamas,1,Zach_Safrin,1
Aaron_Guiel,1,Reese_Witherspoon,3
Aaron_Tippin,1,Jose_Luis_Rodriguez_Zapatero,1
Abdul_Majeed_Shobokshi,1,Charles_Cope,1
Abdullah_Gul,16,Steve_Cox,1
Abid_Hamid_Mahmud_Al-Tikriti,1,Eli_Broad,1
Adam_Kennedy,1,Amelie_Mauresmo,19
Adel_Al-Jubeir,1,Elisabeth_Welch,1
Adrian_Murrell,1,Tommy_Franks,15
Adriana_Lima,1,Terrence_Trammell,1
Adriana_Perez_Navarro,1,Jennifer_Capriati,8
Agbani_Darego,1,Malik_Mahmud,1
Ahmed_Ghazi,1,Henry_Suazo,1
Aileen_Riggin_Soule,1,Damarius_Bilbo,1
Ain_Seppik,1,Donald_Regan,1
Aitor_Gonzalez,1,Lily_Tomlin,2
Al_Cardenas,1,Mary_Landrieu,3
Al_Davis,2,Dennis_Powell,1
Al_Pacino,1,Izzat_Ibrahim,1
Aleksander_Voloshin,1,Ashlea_Talbot,1
Alex_Cabrera,1,Richard_Carl,1
Alex_Corretja,1,Newt_Gingrich,1
Alex_Corretja,1,Tippi_Hedren,2
Alexandra_Rozovskaya,1,Don_King,1
Ali_Fallahian,1,Mohammed_Abulhasan,1
Ali_Naimi,8,Vanessa_Laine,1
Alicia_Keys,1,Giannina_Facio,1
Alicia_Molik,1,Lena_Katina,1
Aline_Chretien,1,Carlos_Iturgaitz,1
Alisha_Richman,1,Spencer_Abraham,9
Allison_Searing,1,Amy_Gale,1
Allison_Searing,1,Mark_Martin,1
Allison_Searing,1,Phillip_Fulmer,1
Allison_Searing,1,Warren_Beatty,1
Amanda_Marsh,1,Howard_Smith,2
Amanda_Marsh,1,Svetlana_Koroleva,2
Amelie_Mauresmo,6,Terri_Clark,1
Amporn_Falise,1,Christiane_Wulff,1
Amporn_Falise,1,Liza_Minnelli,2
Amporn_Falise,1,Zhang_Yimou,1
Amy_Gale,1,Frank_Murkowski,1
Ana_Palacio,5,Erika_Christensen,2
Ana_Palacio,6,Robert_Gordon_Card,1
Andrew_Caldecott,1,Joe_Strummer,1
Andrew_Shutley,1,Charles_Taylor,7
Andrew_Wetzler,1,Cristina_Torrens_Valero,1
Angela_Mascia-Frye,1,Derrick_Taylor,1
Ann_Godbehere,1,Paul_Newman,1
Ann_Godbehere,1,Tatiana_Kennedy_Schlossberg,1
Anna_Chicherova,1,Bob_Iger,1
Anna_Nicole_Smith,1,Tony_Shalhoub,4
Anne_Krueger,3,Lucrecia_Orozco,1
Anne_McLellan,2,Richard_Penniman,1
Anne_McLellan,2,Roman_Tam,1
Annette_Lu,1,Scott_Fawell,1
Annette_Lu,1,Svetlana_Belousova,1
Annie_Chaplin,1,Gloria_Gaynor,1
Annie_Chaplin,1,Ion_Tiriac,1
Annie_Chaplin,1,Michael_Keaton,1
Antonio_Palocci,4,Donald_Regan,1
Aretha_Franklin,1,Marc_Racicot,1
Armando_Avila_Panchame,1,Hamza_Atiya_Muhsen,1
Armando_Avila_Panchame,1,Hana_Urushima,1
Arthur_Johnson,1,Steve_Pagliuca,1
Ascencion_Barajas,1,Marissa_Jaret_Winokur,2
Ashlea_Talbot,1,Sean_Patrick_Thomas,1
